ADV HC Review,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Week,Period,Dept HC,Terminations,Hires,WC/LOA,Labor Share,Final HC,HC Need,,Definitions,,,,,,,,,60 DAY ,ADV,,,Total Hours,Capacity (55)
2026-02-21 00:00:00,FEB,230.62575,,,,39.11875,230.62575,,,"Dept HC: SUM of Direct Labor Associates (Shipping, Ecom, CG/UPH Rec, UPH-LC, Transfers)
Terminations: Forecasted Terminations Based Off Historical Data For Direct Labor Associates
Hires: Requested Hires for Direct Labor Associates
WC/LOA: Active Direct Labor Associates WC/LOA
Working HC: (Dept HC - (Terminations+ WC/LOA))  + Hires
HC Need: Current Week Working HC - Fiscal Week Working HC",,,,,,,,,Horizon Hiring Needs,89.3076923076923,,,,
2026-02-28 00:00:00,FEB,233.00649999999996,,,,40.18149999999999,233.00649999999996,,,,,,,,,,,,Net Hiring Needs,13,,,,
2026-03-07 00:00:00,MAR,231.814,,,,29.356499999999997,231.814,,,,,,,,,,,,Turnover Hiring Needs,76.3076923076923,,,,
2026-03-14 00:00:00,MAR,226.74099999999999,,,,39.96975,226.74099999999999,,,,,,,,,,,,,,,,,
2026-03-21 00:00:00,MAR,124.54475000000001,,,,,124.54475000000001,,,,,,,,,,,,,,,,,
2026-03-28 00:00:00,MAR,,,,,,,,,,,,,,,,,,,,,,,
2026-04-04 00:00:00,APR,248,4,6,5,0,245,-5,,,,,,,,,,,,,,,,
2026-04-11 00:00:00,APR,249,8,12,3,0,250,-15,,,,,,,,,,,,,,,,
2026-04-18 00:00:00,APR,253,7,14,0,0,260,-11,,,,,,,,,,,,,,,0,0
2026-04-25 00:00:00,APR,260,9,5,0,0,256,-7,,Department Updated 3/24,YTD Hired ,YTD Termed,,,,,,,,,,,0,
2026-05-02 00:00:00,MAY,255,7,4,0,0,252,-16,,ADV WHS Ecomm Ship,7,2,,,,,,,,,,,0,0
2026-05-09 00:00:00,MAY,257,7,11,0,0,261,-12,,ADV WHS Receiving,24,19,,,,,,,,,,,0,0
2026-05-16 00:00:00,MAY,259,9,7,0,0,257,-6,,ADV WHS Shipping,51,67,,,,,,,,,,,0,0
2026-05-23 00:00:00,MAY,255,8,4,0,0,251,-12,,ADV WHS Transfers,4,2,,,,,,,,,,,0,0
2026-05-30 00:00:00,MAY,261,7,3,0,0,257,-12,,ADV WHS Uph Line Clearing,1,3,,,,,,,,,,,0,0
2026-06-06 00:00:00,JUN,257,7,7,0,0,257,-7,,ADV WHS UPH Receiving,4,3,,,,,,,,,,,0,0
2026-06-13 00:00:00,JUN,257,8,3,0,0,252,-3,,TOTAL HIRE VS TO ,91,96,,,,,,,,,,,0,0
2026-06-20 00:00:00,JUN,252,8,4,0,0,248,-3,,,,,,,,,,,,,,,0,0
2026-06-27 00:00:00,JUN,248,8,8,0,0,248,-6,,,,,,,,,,,,,,,0,0
2026-07-04 00:00:00,JUL,248,7,10,0,0,251,-8,,,,,,,,,,,,,,,0,0
2026-07-11 00:00:00,JUL,251,8,10,0,0,253,-11,,,,,,,,,,,,,,,0,0
2026-07-18 00:00:00,JUL,253,8,11,0,0,256,-14,,,,,,,,,,,,,,,0,0
2026-07-25 00:00:00,JUL,256,8,11,0,0,259,-17,,,,,,,,,,,,,,,0,0
2026-08-01 00:00:00,AUG,259,7,10,0,0,262,-19,,,,,,,,,,,,,,,0,0
2026-08-08 00:00:00,AUG,262,8,10,0,0,264,-22,,,,,,,,,,,,,,,0,0
2026-08-15 00:00:00,AUG,264,8,11,0,0,267,-25,,,,,,,,,,,,,,,0,0
2026-08-22 00:00:00,AUG,267,7,10,0,0,270,-27,,,,,,,,,,,,,,,0,0
2026-08-29 00:00:00,AUG,270,9,11,0,0,272,-30,,,,,,,,,,,,,,,0,0
2026-09-05 00:00:00,SEP,272,7,10,0,0,275,-33,,,,,,,,,,,,,,,0,0
2026-09-12 00:00:00,SEP,275,8,11,0,0,278,-,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,0,0
,,,,,,,,,,,,,,,,,,,,,,,0,0
